time,pm10,pm2_5,nitrogen_dioxide,ozone,carbon_monoxide,AQI,hour,hour_sin,hour_cos,AQI_RF_Predict,AQI_LSTM_Predict
2026-09-01 21:00:00,-0.0856999422896784,-0.2512655371700086,0.5029231434777752,-0.6697171743917101,1.0488257445642806,137.0,21,-0.5195839500354336,0.8544194045464886,,
2026-09-01 22:00:00,0.3693397512866952,0.2007504999131932,0.7306619254299753,-0.8855293624695997,1.2570387387866468,156.0,22,-0.2697967711570252,0.962917287347799,,
2026-09-01 23:00:00,0.8070994564994091,0.6527665369963948,0.8951399346176754,-1.0581791129319114,1.3023640164404953,164.0,23,-2.4492935982947064e-16,1.0,204.74,17.510143280029297
2026-09-02 00:00:00,1.095099262560405,0.9521149059256674,1.0090093255937755,-1.1732789465734523,1.2230447805462603,169.0,0,0.0,1.0,,
2026-09-02 01:00:00,1.3024591229243216,1.1706392152440364,1.0807048680602087,-1.2596038218046082,1.0374944251508185,173.0,1,0.2697967711570243,0.9629172873477992,,
2026-09-02 02:00:00,1.504058987167019,1.3712026224266491,1.0975744074640754,-1.3171537386253789,0.6663937143599344,176.0,2,0.5195839500354336,0.8544194045464886,,
2026-09-02 03:00:00,1.691258861106666,1.559792094852091,1.076487483209242,-1.3315412178305714,0.1890618840678431,179.0,3,0.730835964278124,0.6825531432186541,,
2026-09-02 04:00:00,1.7315788339552058,1.6017008665021892,1.0511831741034423,-1.2883787802149935,-0.1423792087759235,180.0,4,0.8878852184023752,0.4600650377311522,,
2026-09-02 05:00:00,1.6307789018338572,1.48196151893048,1.1060091771660088,-1.2020539049838377,-0.1792059968696753,178.0,5,0.9790840876823228,0.2034560130526337,,
2026-09-02 06:00:00,1.6365388979550772,1.4759745515518945,1.1566177953776091,-1.0437916337267186,-0.0701420475151025,178.0,6,0.9976687691905392,-0.0682424133646708,,
2026-09-02 07:00:00,1.4982989910457991,1.3352808181551363,1.0090093255937755,-0.6841046535969028,-0.0149018653744748,176.0,7,0.9422609221188204,-0.3348796121709861,,
2026-09-02 08:00:00,0.6774995437719609,0.5569750589390274,0.4691840646700417,0.078431744278307,-0.0729748773684681,162.0,8,0.8169698930104421,-0.5766803221148671,,
2026-09-02 09:00:00,-0.2325798433807864,-0.2482720534807158,-0.2688582842491255,1.0280053718210211,-0.1862880715030891,137.0,9,0.631087944326053,-0.7757112907044197,,
2026-09-02 10:00:00,-0.5407396358660519,-0.5146921018277687,-0.8508573936825258,1.7617668112858456,-0.3675891821184829,115.0,10,0.3984010898462414,-0.917211301505453,,
2026-09-02 11:00:00,-0.6127395873813009,-0.5865357103707941,-1.116552639293426,2.063903874594891,-0.6976138600355668,109.0,11,0.1361666490962471,-0.9906859460363306,,
2026-09-02 12:00:00,-0.6876195369571598,-0.685320672117454,-1.2177698757166262,2.1214537914156617,-1.0984592842867889,101.0,12,-0.1361666490962464,-0.9906859460363308,,
2026-09-02 13:00:00,-0.817219449684608,-0.8409818239606758,-1.264161109077259,2.092678833005276,-1.349164726309638,89.0,13,-0.3984010898462415,-0.9172113015054528,,
2026-09-02 14:00:00,-0.9007393934422968,-0.9367733020180432,-1.3400740363946595,2.035128916184506,-1.4468973562507486,83.0,14,-0.6310879443260528,-0.7757112907044198,,
